model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
5 Series,2014,11200,Automatic,67068,Diesel,,57.6,2.0
6 Series,,27000,Automatic,14827,Petrol,145,42.8,2.0
5 Series,2016,16000,,62794,Diesel,160,51.4,3.0
1 Series,2017,12750,Automatic,26676,Diesel,,72.4,1.5
7 Series,2014,,Automatic,39554,Diesel,160,50.4,3.0
,2016,14900,Automatic,35309,Diesel,125,60.1,2.0
5 Series,2017,16000,Automatic,,Diesel,125,,2.0
2 Series,2018,16250,Manual,10401,Petrol,145,52.3,
4 Series,2017,14250,Manual,42668,,30,62.8,2.0
5 Series,2016,14250,Automatic,36099,Diesel,20,68.9,2.0
X3,2017,15500,,74907,Diesel,145,52.3,2.0
1 Series,,11800,Manual,29840,Diesel,20,,2.0
X3,2016,15500,Automatic,77823,Diesel,125,54.3,
2 Series,2015,10500,Manual,,Diesel,20,68.9,2.0
X3,2017,,Automatic,19057,Diesel,145,54.3,2.0
3 Series,2017,16500,Manual,16570,,125,58.9,2.0
,2017,14250,Automatic,55594,Other,135,148.7,2.0
3 Series,,16000,Automatic,45456,Diesel,30,64.2,2.0
1 Series,2017,15500,Automatic,22812,Diesel,,68.9,1.5
4 Series,2014,14000,Automatic,47348,Diesel,125,,2.0
1 Series,2015,,Automatic,75124,Diesel,20,70.6,2.0
3 Series,2015,12600,,78957,Diesel,30,62.8,
3 Series,2016,15100,Automatic,,Diesel,30,64.2,2.0
1 Series,,9400,Manual,44498,Diesel,0,83.1,1.5
,2016,14300,Automatic,22461,Diesel,20,67.3,2.0
1 Series,2016,11200,Manual,23005,,125,53.3,1.5
3 Series,2019,17800,Automatic,22310,Diesel,,64.2,2.0
3 Series,2016,,Automatic,51994,Diesel,30,62.8,2.0
X5,2016,19750,Automatic,,Diesel,165,52.3,2.0
X3,2015,17400,Automatic,50316,,200,47.9,3.0
4 Series,2017,16800,Automatic,44011,Diesel,150,,2.0
X4,,23000,Automatic,34960,Diesel,150,54.3,2.0
i3,2016,17100,,25269,Other,0,470.8,0.6
